,,4.A.4.a.8.G01,Make presentations on green issues or projects.,,,
Coordinating the Work and Activities of Others —,4.A.4.b.1,, Getting members of a group to work together to accomplish tasks.,"assurer 
coordonner, coordination","équipe/s, action/s, membres, parties prenantes",
,,4.A.4.b.1.G01,Direct transportation or logistics activities.,,,
,,4.A.4.b.1.G02,Manage green technology maintenance activities.,,,
,,4.A.4.b.1.G03,Manage environmental programs.,gérer,"programme/s, projet/s","efficacité énergétique
biodiversité
environnemental/eaux
durabilité environnementale,  développement durable, durablilité"
,,4.A.4.b.1.G04,Manage installation of green energy technology.,,,
,,4.A.4.b.1.G05,Direct testing activities.,,,
,,4.A.4.b.1.G06,Manage alternative energy production.,,,
,,4.A.4.b.1.G07,Manage compliance activities.,,,
,,4.A.4.b.1.G08,Develop environmentally related training or outreach programs.,,,
,,4.A.4.b.1.G09,Manage engineering or construction activities.,,,
Developing and Building Teams — ,,,"Encouraging and building mutual trust, respect, and cooperation among team members.",,,
Training and Teaching Others —,4.A.4.b.3,," Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.","identifier les besoins
concevoir, diriger, organiser, former, dispenser des formations
enseigner, enseignement
programme/s, action/s, activité/s de sensibilisation","interne/s, des parties prenantes, responsables","dans le domaine de l'environnement
à la nature"
,,4.A.4.b.3.G01,Demonstrate solar system operation to owners.,,,
,,4.A.4.b.3.G02,Train staff.,,,
"Guiding, Directing, and Motivating Subordinates — ",4.A.4.b.4,,"Providing guidance and direction to subordinates, including setting performance standards and monitoring performance.","Diriger, dirige, dirigez, direction
Conduire, conduit, conduite
pilote, pilotez, piloter, pilotage
gérer, gère, gérez, gestion
encadrer, encadrement
guider, animer, animant
"," les travaux,  des chantiers,  
 de (…) collègues, équipe/s, séances
des RH, ressources humaines, performances",
,,4.A.4.b.4.G01,Supervise workers on green projects.,,,
,,4.A.4.b.4.G02,Supervise energy production employees.,,,
Coaching and Developing Others — ,4.A.4.b.5,,"Identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills.","soutenir, soutient, soutenez"," les sections,  les services,  les collaborateurs
",
,,,Advise others regarding green practices or environmental concerns. ,"conseil/s 
conseil/s auprès de 
pas: société de conseil, votre conseiller",,
,,,Advise others about environmental management or conservation. ,,,
,,,Advise others about land management or conservation. ,"restauration, conservation",,
Provide Consultation and Advice to Others — ,4.A.4.b.6,,"Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics.","soutien, assitance, apport",technique,
,,4.A.4.b.6.G01,Advise others on management of water resources or water treatment.,,,
,,4.A.4.b.6.G02,Recommend green solutions.,,,
,,4.A.4.b.6.G03,"Advise others on policies, standards, or compliance activities.",,,
,,4.A.4.b.6.G04,Provide advice related to agricultural issues.,,,
,,4.A.4.b.6.G05,Advise others on green engineering or design issues.,,,
,,4.A.4.b.6.G06,Advise others on green investments.,,,
,,4.A.4.b.6.G07,Advise others on environmental remediation or restoration procedures.,,,
,,4.A.4.b.6.G08,Provide technical guidance on green projects.,,,
Performing Administrative Activities — ,4.A.4.c.1,,Performing day-to-day administrative tasks such as maintaining information files and processing paperwork.,gérer/gestion/suivre/suivi ,"administratif des contrats
administratif",
,,4.A.4.c.1.G01,Obtain permits.,,,
Staffing Organizational Units —,4.A.4.c.2,," Recruiting, interviewing, selecting, hiring, and promoting employees in an organization.",,,
Monitoring and Controlling Resources —,,, Monitoring and controlling resources and overseeing the spending of money.,"gérer/gestion/suivre/suivi 
optimiser, optimisastion","des coûts, budgétaire, financier, des finances, des ressources matérielles, des comptes, des subventions, de la logistique, technique,
des ressources",
